Number of Records	action description	action	chapter	page1	page	source	target
1	sibling	0	8	440	440	16	23
1	sibling	0	8	440	440	23	16
1	sibling	0	8	-1		29	31
1	sibling	0	8	-1		29	32
1	sibling	0	8	-1		31	29
1	sibling	0	8	-1		32	29
1	sibling	0	8	-1		32	31
1	descent	1	1	-1		1	2
1	descent	1	1	-1		2	3
1	descent	1	1	-1		3	4
1	descent	1	1	-1		4	5
1	descent	1	1	-1		5	6
1	descent	1	1	-1		9	7
1	descent	1	1	-1		9	8
1	descent	1	2	-1		13	9
1	descent	1	2	-1		13	12
1	descent	1	2	-1		14	9
1	descent	1	2	-1		14	12
1	descent	1	3	-1		16	18
1	descent	1	3	-1		16	19
1	descent	1	4	-1		23	24
1	descent	1	8	446	446	30	29
1	descent	1	8	-1		31	30
1	descent	1	8	-1		31	32
1	descent	1	8	447	447	34	33
1	marriage	2	1	-1		7	8
1	marriage	2	1	-1		8	7
1	marriage	2	2	-1		9	12
1	marriage	2	2	-1		12	9
1	marriage	2	3	-1		16	17
1	marriage	2	3	-1		18	20
1	marriage	2	8	447	447	32	33
1	fostering	3	3	-1		9	22
1	inheritance	5	16	-1		9	13
1	inheritance	5	16	-1		9	14
1	placed in command	7	6	444	444	18	23
1	placed in command	7	11	453	453	9	18
1	request assistance	8	4	440	440	24	9
1	request assistance	8	5	441	441	24	25
1	request assistance	8	5	442	442	9	26
1	request assistance	8	6	444	444	23	18
1	request assistance	8	10	452	452	31	18
1	request assistance	8	11	452	452	9	29
1	request assistance	8	14	459	459	35	18
1	request assistance	8	16	461	461	18	31
1	request assistance	8	2	-1		9	7
1	request assistance	8	5	-1		9	26
1	request assistance	8	5	-1		24	25
1	request assistance	8	5	-1		24	22
1	request assistance	8	8	-1		18	29
1	offer assistance	9	4	440	440	23	24
1	offer assistance	9	14	456	456	19	35
1	offer assistance	9	1	-1		10	7
1	offer assistance	9	2	-1		7	9
1	offer assistance	9	2	-1		9	15
1	offer assistance	9	4	-1		24	9
1	offer assistance	9	9	-1		31	29
1	provide information	10	5	442	442	9	22
1	provide information	10	10	451	451	31	18
1	provide information	10	10	452	452	18	31
1	provide information	10	10	452	452	18	31
1	provide information	10	11	453	453	31	18
1	provide information	10	11	454	454	29	18
1	provide information	10	12	454	454	29	18
1	provide information	10	12	454	454	31	18
1	provide information	10	14	458	458	35	19
1	provide information	10	1	-1		11	7
1	provide information	10	4	-1		23	24
1	provide information	10	4	-1		24	9
1	provide information	10	8	-1		29	15
1	provide information	10	9	-1		29	18
1	provide information	10	16	-1		31	18
1	discover information	11	5	-1		26	9
1	invitation	12	14	456	456	18	19
1	giftgiving	13	12	455	455	18	31
1	giftgiving	13	12	455	455	18	29
1	giftgiving	13	12	455	455	18	23
1	giftgiving	13	14	460	460	18	19
1	giftgiving	13	3	-1		19	21
1	giftgiving	13	16	-1		18	29
1	giftgiving	13	16	-1		18	31
1	giftgiving	13	16	-1		29	18
1	giftgiving	13	16	-1		31	18
1	accusation	14	10	450	450	18	9
1	accusation	14	5	-1		9	24
1	accusation	14	7	-1		18	9
1	summons	15	12	454	454	29	22
1	summons	15	12	454	454	31	22
1	summons	15	14	457	457	9	37
1	summons	15	14	457	457	9	38
1	summons	15	14	457	457	9	41
1	summons	15	14	457	457	9	42
1	summons	15	7	-1		18	9
1	insult	17	11	453	453	18	9
1	insult	17	11	453	453	31	9
1	insult	17	14	457	457	36	9
1	threat	18	11	452	452	29	9
1	intervention	19	6	443	443	9	23
1	intervention	19	9	-1		29	31
1	challenge	20	6	443	443	23	9
1	challenge	20	15	460	460	9	18
1	hostility_non-lethal	21	10	450	450	18	9
1	hostility_non-lethal	21	11	452	452	29	9
1	hostility_non-lethal	21	11	453	453	18	9
1	hostility_non-lethal	21	11	453	453	31	9
1	hostility_non-lethal	21	14	459	459	9	19
1	hostility_non-lethal	21	14	459	459	18	9
1	hostility_non-lethal	21	9	-1		23	31
1	hostility_lethal	22	5	442	442	9	24
1	hostility_lethal	22	12	455	455	31	21
1	hostility_lethal	22	14	459	459	9	19
1	hostility_lethal	22	5	-1		9	24
1	conversation_neutral	23	13	456	456	9	18
1	conversation_neutral	23	13	456	456	18	9
1	death_neutral	24	16	462	462	9	9
1	death_neutral	24	1	-1		10	7
1	death_neutral	24	5	-1		9	24
