action description,action,chapter,order_id,page,source,target
offer assistance,9,1,1,,10,7
death_neutral,24,1,2,,10,7
provide information,10,1,3,,11,7
request assistance,8,2,4,,9,7
offer assistance,9,2,5,,7,9
offer assistance,9,2,6,,9,15
giftgiving,13,3,7,,19,21
ownership,28,3,8,,9,22
offer assistance,9,4,9,440,23,24
provide information,10,4,10,,23,24
request assistance,8,4,11,440,24,9
offer assistance,9,4,12,,24,9
provide information,10,4,13,,24,9
request assistance,8,5,14,441,24,25
request assistance,8,5,15,,24,22
request assistance,8,5,16,,24,25
request assistance,8,5,17,,9,26
request assistance,8,5,18,442,9,26
discover information,11,5,19,,26,9
provide information,10,5,20,442,9,22
accusation,14,5,21,,9,24
hostility_lethal,22,5,22,,9,24
hostility_lethal,22,5,23,442,9,24
death_neutral,24,5,24,,9,24
intervention,19,6,25,443,9,23
challenge,20,6,26,443,23,9
request assistance,8,6,27,444,23,18
placed in command,7,6,28,444,18,23
accusation,14,7,29,,18,9
summons,15,7,30,,18,9
request assistance,8,8,31,,18,21
provide information,10,8,32,,29,15
provide information,10,9,33,,29,18
hostility_non-lethal,21,9,34,,23,31
intervention,19,9,35,,29,31
offer assistance,9,9,36,,31,29
provide information,10,10,37,452,18,31
provide information,10,10,38,452,18,31
accusation,14,10,39,450,18,9
hostility_non-lethal,21,10,40,450,18,9
request assistance,8,10,41,452,31,18
provide information,10,10,42,451,31,18
placed in command,7,11,43,453,9,18
request assistance,8,11,44,452,9,29
threat,18,11,45,452,29,9
hostility_non-lethal,21,11,46,452,29,9
insult,17,11,47,453,31,9
hostility_non-lethal,21,11,48,453,31,9
provide information,10,11,49,453,31,18
provide information,10,11,50,454,29,18
insult,17,11,51,453,18,9
hostility_non-lethal,21,11,52,453,18,9
provide information,10,12,53,454,29,18
summons,15,12,54,454,29,21
summons,15,12,55,454,31,21
giftgiving,13,12,56,455,18,31
giftgiving,13,12,57,455,18,29
giftgiving,13,12,58,455,18,23
conversation_neutral,23,13,59,456,9,18
conversation_neutral,23,13,60,456,18,9
invitation,12,14,61,456,18,19
giftgiving,13,14,62,460,18,19
offer assistance,9,14,63,456,19,35
insult,17,14,64,457,36,9
hostility_non-lethal,21,14,65,459,9,19
summons,15,14,66,457,9,37
summons,15,14,67,457,9,38
summons,15,14,68,457,9,41
summons,15,14,69,457,9,42
provide information,10,14,70,458,35,19
request assistance,8,14,71,459,35,18
hostility_lethal,22,14,72,459,9,19
hostility_non-lethal,21,14,73,459,18,9
challenge,20,15,74,460,9,18
request assistance,8,16,75,461,18,31
giftgiving,13,16,76,,18,29
giftgiving,13,16,77,,18,31
provide information,10,16,78,,31,18
giftgiving,13,16,79,,29,18
giftgiving,13,16,80,,31,18
inheritance,5,16,81,,9,13
inheritance,5,16,82,,9,14
death_neutral,24,16,83,462,9,9
hostility_lethal,22,12,84,455,31,21
descent,1,8,,,33,34
marriage,2,2,,,12,9
descent,1,8,,,32,30
descent,1,1,,,2,3
marriage,2,3,,,17,16
marriage,2,1,,,8,7
descent,1,3,,,18,16
descent,1,1,,,1,2
descent,1,4,,,24,23
descent,1,1,,,9,8
descent,1,2,,,13,9
descent,1,1,,,3,4
descent,1,2,,,14,12
descent,1,1,,,5,6
descent,1,8,,,31,30
descent,1,3,,,18,17
descent,1,2,,,14,9
descent,1,1,,,9,7
marriage,2,3,,,20,18
descent,1,3,,,19,16
descent,1,1,,,4,5
descent,1,3,,,19,17
marriage,2,8,,,32,33
descent,1,8,,,29,30
descent,1,2,,,13,12
